date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-30,0.14,0.5285714286,1.2142857143,0.0,1.1428571429,0.0285714286,0.0,0.0,0.0,0.9714285714,0.0,1.1857142857,0.0428571429,0.0,0.0285714286,0.0,0.5,0.0428571429,0.0,0.0,0.8285714286,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3875,0.4125,0.0,0.2125,0.325,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.375,0.075,0.0,0.0,0.169,0.8028571429,0.0,0.0,0.0,1.2142857143,
10-31,0.14,0.6142857143,1.3142857143,0.0,1.1428571429,0.0142857143,0.0,0.0,0.0,0.9714285714,0.0,1.1857142857,0.1,0.0,0.0285714286,0.0,0.5142857143,0.0285714286,0.0,0.0,0.8857142857,0.0,0.0285714286,0.0285714286,0.8285714286,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.1125,0.325,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3625,0.0625,0.0,0.0,0.1235,0.8742857143,0.0,0.0,0.0,1.3142857143,
11-01,0.14,0.6,1.3571428571,0.0,1.1571428571,0.0142857143,0.0,0.0,0.0,0.9714285714,0.1,1.2,0.4142857143,0.0,0.0285714286,0.0,0.5142857143,0.0,0.0,0.0,0.8857142857,0.0,0.0285714286,0.0285714286,0.9,0.0,0.0,0.0,0.0,0.2625,0.2,0.0125,0.025,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3625,0.0625,0.0,0.0,0.164,0.8971428571,0.0,0.0,0.0,1.3571428571,
11-02,0.06,0.3428571429,1.1857142857,0.0285714286,1.1714285714,0.0142857143,0.0,0.0,0.0,0.9714285714,0.1142857143,1.2857142857,0.3714285714,0.0,0.3428571429,0.0,0.4857142857,0.0,0.0285714286,0.0,0.8714285714,0.0,0.0,0.0285714286,0.9285714286,0.0285714286,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.25,0.8125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.5875,0.025,0.0,0.0,0.22,0.9171428571,0.0,0.0,0.0142857143,1.2857142857,
11-03,0.08,0.3285714286,1.1571428571,0.0285714286,1.2857142857,0.0142857143,0.0,0.0,0.0,0.9571428571,0.1142857143,1.3,0.0714285714,0.0,0.3714285714,0.0,0.4714285714,0.0,0.0428571429,0.0,0.8714285714,0.0,0.0,0.0857142857,0.8714285714,0.0285714286,0.0,0.0,0.0,0.2,0.0375,0.0125,0.0,0.2625,0.8125,0.8375,0.0,0.0125,0.0,0.0,0.0,0.0,0.675,0.0125,0.0,0.0,0.225,0.8714285714,0.0,0.0,0.0285714286,1.3,
11-04,0.1,0.2857142857,1.1285714286,0.0285714286,1.2714285714,0.0,0.0,0.0,0.0,0.9142857143,0.1142857143,1.3142857143,0.0,0.0,0.4142857143,0.0,0.4571428571,0.0,0.0428571429,0.0,0.8714285714,0.0,0.0285714286,0.2714285714,1.0142857143,0.2571428571,0.0,0.0,0.2142857143,0.2125,0.0,0.0375,0.0,0.2625,0.825,1.3,0.0,0.0875,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.2660714286,0.9942857143,0.0,0.0375,0.0375,1.3142857143,
11-05,0.14,0.2857142857,1.0714285714,0.0285714286,1.2857142857,0.0428571429,0.0,0.0,0.0,0.8857142857,0.1714285714,1.2428571429,0.0428571429,0.0,0.8857142857,0.0,0.4285714286,0.0,0.0857142857,0.0,0.8571428571,0.0,0.0,0.2714285714,1.0142857143,0.3857142857,0.0,0.0,0.5,0.2125,0.0,0.225,0.0,0.3625,0.8375,1.3125,0.0,0.475,0.0,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.4028571429,1.0039285714,0.0,0.1,0.0857142857,1.3125,
11-06,0.14,0.2857142857,1.0285714286,0.0285714286,1.2142857143,0.0571428571,0.0,0.0,0.0,0.8285714286,0.2285714286,0.8714285714,0.0571428571,0.0,1.3857142857,0.0,0.4285714286,0.0,0.4714285714,0.0,0.8571428571,0.0,0.0,0.2714285714,0.9285714286,0.6,0.0,0.0,0.6,0.2125,0.0,0.275,0.0,0.425,0.7125,1.3,0.0,0.4875,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.4778571429,1.0085714286,0.0,0.125,0.14,1.3857142857,
11-07,0.12,0.2857142857,1.0142857143,0.0571428571,1.3857142857,0.0714285714,0.0857142857,0.0,0.0142857143,0.8,0.2285714286,0.6285714286,0.0857142857,0.0,1.6428571429,0.0,0.4571428571,0.0,0.5428571429,0.0,0.8571428571,0.0,0.0,0.2857142857,0.9428571429,0.4285714286,0.0,0.0,0.6428571429,0.2125,0.0,0.375,0.0,0.4125,0.6375,1.225,0.0,0.5125,0.0,0.0,0.0,0.025,1.2,0.0125,0.0,0.0,0.4792857143,1.0,0.0,0.1375,0.12,1.6428571429,
11-08,0.04,0.2285714286,1.0285714286,0.1285714286,1.5428571429,0.0714285714,0.4428571429,0.0,0.1,0.7857142857,0.2,0.4857142857,0.0857142857,0.0,1.6714285714,0.0,0.4571428571,0.0,0.7714285714,0.0,0.8571428571,0.0,0.0,0.3428571429,0.9428571429,0.2857142857,0.0,0.0,0.5428571429,0.225,0.2125,0.3625,0.0,0.3,0.5,1.2125,0.0,0.5125,0.0,0.0,0.275,0.025,1.4375,0.15,0.0,0.015,0.4685714286,1.0114285714,0.0,0.1375,0.225,1.6714285714,
11-09,0.04,0.1857142857,1.1,0.1857142857,2.1857142857,0.1857142857,0.5428571429,0.0,0.2428571429,0.7,0.2428571429,0.2714285714,0.1571428571,0.0,1.7571428571,0.0142857143,0.4571428571,0.0,0.8857142857,0.0,1.2428571429,0.0,0.6571428571,0.3857142857,0.8571428571,0.1857142857,0.0,0.0,0.5142857143,0.2125,0.2125,0.3625,0.0,0.3,0.475,1.2375,0.0,0.5875,0.0,0.0,0.3625,0.0375,1.825,0.1375,0.0,0.039,0.4907142857,1.21,0.0,0.1625,0.2428571429,2.1857142857,
11-10,0.04,0.2,1.1857142857,0.2714285714,2.4428571429,0.2857142857,0.6285714286,0.1571428571,0.3571428571,0.6428571429,0.2,0.0428571429,0.2714285714,0.0,1.9,0.2571428571,0.4571428571,0.0,0.9285714286,0.0,1.2714285714,0.0,0.9571428571,0.4857142857,0.7857142857,0.2,0.1285714286,0.0,0.5571428571,0.2,0.3875,0.4125,0.05,0.2375,0.4,1.6625,0.0,0.5875,0.0,0.0,0.425,0.0875,2.075,0.1375,0.0,0.1457142857,0.5142857143,1.2542857143,0.0,0.2,0.2714285714,2.4428571429,
11-11,0.04,0.2,1.3428571429,0.2714285714,3.0142857143,0.4285714286,0.6714285714,0.1571428571,0.5428571429,0.5857142857,0.2142857143,0.0,0.3,0.0,1.8857142857,0.3428571429,0.4571428571,0.0285714286,0.9571428571,0.0,1.3,0.0,1.2714285714,0.4428571429,0.7142857143,0.1714285714,0.2142857143,0.0428571429,0.5571428571,0.2,0.675,0.425,0.325,0.2,0.375,1.675,0.0,0.625,0.0,0.0,0.5,0.0375,2.075,0.1375,0.0,0.1885714286,0.5685714286,1.3342857143,0.0,0.2375,0.3428571429,3.0142857143,
11-12,0.08,0.2,1.3571428571,0.3142857143,3.1,0.4714285714,0.6571428571,0.1,0.6428571429,0.5428571429,0.2285714286,0.0,0.3,0.0,1.9142857143,0.1571428571,0.4571428571,0.0571428571,0.9571428571,0.0,1.3428571429,0.0,1.4285714286,0.4428571429,0.7571428571,0.1428571429,0.4571428571,0.1,0.6714285714,0.3,0.6875,0.4875,0.4125,0.1625,0.375,1.6625,0.0,0.6,0.0,0.0,0.575,0.025,2.075,0.1375,0.0,0.1514285714,0.6171428571,1.4142857143,0.0,0.2625,0.4125,3.1,
11-13,0.14,0.3428571429,1.3571428571,0.3428571429,3.1,0.5571428571,0.6571428571,0.1,0.7285714286,0.5142857143,0.2285714286,0.0142857143,0.3285714286,0.0,2.0428571429,0.0142857143,0.4571428571,0.0857142857,0.9714285714,0.0,1.4142857143,0.0,1.4857142857,0.4428571429,0.7142857143,0.1428571429,0.5285714286,0.1142857143,0.3714285714,0.3625,0.675,0.7375,0.475,0.15,0.3875,1.65,0.0,0.5875,0.0,0.0,0.7,0.0,2.0625,0.1375,0.0,0.1417142857,0.6642857143,1.4714285714,0.0,0.2375,0.3875,3.1,
11-14,0.14,0.3857142857,1.3714285714,0.4666666667,3.1857142857,0.6,0.6571428571,0.3428571429,1.1714285714,0.4857142857,0.2285714286,0.2428571429,0.3285714286,0.0,2.0857142857,0.0,0.4571428571,0.0571428571,0.9714285714,0.0,1.4285714286,0.0,1.5285714286,0.5285714286,0.7142857143,0.5857142857,1.2142857143,0.0857142857,0.1714285714,0.4375,0.6875,0.8,0.4625,0.15,0.6875,1.6625,0.0,0.5875,0.0,0.0,1.3875,0.0,2.0625,0.1125,0.0,0.2057142857,0.6982142857,1.5085714286,0.0,0.3375,0.4666666667,3.1857142857,
11-15,0.14,0.3714285714,1.3714285714,0.5166666667,3.1714285714,0.6285714286,0.5714285714,0.3571428571,1.2285714286,0.4857142857,0.2428571429,0.2571428571,0.3428571429,0.0,2.1,0.0,0.5857142857,0.0285714286,0.9714285714,0.0,1.6714285714,0.0,1.5285714286,0.5428571429,0.7,0.3142857143,1.2857142857,0.0571428571,0.0,0.4375,0.7625,0.7875,0.45,0.225,1.2125,1.6625,0.0,0.6125,0.0,0.0,1.4625,0.0,2.025,0.1125,0.0,0.2357142857,0.7725,1.6357142857,0.0,0.3375,0.4857142857,3.1714285714,
11-16,0.14,0.3142857143,1.4285714286,0.5833333333,3.1857142857,0.6857142857,0.5285714286,0.3571428571,1.3142857143,0.4857142857,0.2428571429,0.2571428571,0.3428571429,0.0,2.2,0.0,0.6714285714,0.0428571429,0.9714285714,0.0,1.7857142857,0.0,1.5428571429,0.7714285714,0.6857142857,0.3,1.2857142857,0.0142857143,0.0,0.4875,0.6375,0.775,0.4625,0.2375,1.2375,1.7875,0.0,0.7375,0.0,0.0,1.5125,0.0,2.025,0.1125,0.0,0.2407142857,0.7728571429,1.7371428571,0.0,0.3375,0.4875,3.1857142857,
11-17,0.0,0.2857142857,1.4714285714,0.7666666667,3.2,0.8857142857,0.5571428571,0.3142857143,1.8285714286,0.4571428571,0.2428571429,0.3,0.3428571429,0.0,2.5,0.0,0.7142857143,0.0428571429,1.0285714286,0.0,1.8,0.0,1.5,1.1142857143,0.6571428571,0.3,1.2428571429,0.0142857143,0.0,0.5375,0.5875,0.8125,0.4625,0.4,1.25,1.8375,0.0,0.8875,0.0,0.0,1.425,0.0,2.0125,0.15,0.0,0.2685714286,0.9439285714,1.8228571429,0.0,0.35,0.5375,3.2,
11-18,0.0,0.3714285714,1.7714285714,1.0833333333,3.2571428571,1.1571428571,0.5,0.2857142857,2.5571428571,0.5,0.2428571429,0.7285714286,0.3428571429,0.0,2.8714285714,0.0,1.4285714286,0.2857142857,1.2857142857,0.2142857143,1.8142857143,0.0,1.5142857143,1.1571428571,0.6285714286,0.3,1.1571428571,0.0142857143,0.0,0.5375,0.5875,0.85,0.5125,0.3875,1.25,1.95,0.0,1.05,0.0,0.0,1.3375,0.0,2.0125,0.15,0.0,0.2857142857,1.1571428571,1.9228571429,0.0,0.5,0.5375,3.2571428571,
11-19,0.0,0.3714285714,2.1857142857,1.25,3.3285714286,1.1857142857,0.6,0.2571428571,2.5857142857,0.4857142857,0.2285714286,1.0857142857,0.3571428571,0.0,2.9142857143,0.0,0.9714285714,0.3714285714,1.2857142857,0.2571428571,1.8428571429,0.0,1.5142857143,1.1571428571,0.6285714286,0.3142857143,1.1,0.0,0.0,0.5375,0.5875,1.1375,0.7125,0.4,1.3375,2.0125,0.0,1.075,0.0,0.0,1.3375,0.0375,2.0125,0.2125,0.0,0.2914285714,1.1685714286,2.0125,0.0,0.5375,0.6,3.3285714286,
11-20,0.0,0.3857142857,2.4571428571,1.8666666667,3.3571428571,1.3714285714,0.6,0.2428571429,2.5857142857,0.5,0.3142857143,1.1,0.4428571429,0.0,2.9714285714,0.0,0.5285714286,0.4714285714,1.2857142857,0.3285714286,1.9142857143,0.0,1.5285714286,1.1714285714,0.6285714286,0.3142857143,1.0142857143,0.0285714286,0.0,0.5625,0.775,1.1375,0.6625,0.6875,1.4,2.1375,0.0,1.125,0.0,0.0,1.2875,0.05,2.025,0.55,0.0,0.3228571429,1.2171428571,2.115,0.0,0.625,0.6285714286,3.3571428571,
