,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10-24,0.15,0.0,0.0,0.0,0.5166666666666667,0.3166666666666667,0.0,0.0,0.0,0.15,0.0,0.016666666666666666,0.0,0.0,0.08333333333333333,0.0,0.46666666666666673,0.06666666666666667,0.0,0.0,0.15,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.03333333333333333,0.0,0.14285714285714285,0.27142857142857146,0.0,0.4571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.4625,0.0
10-25,0.1,0.0,0.15,0.0,0.55,0.25000000000000006,0.0,0.0,0.0,0.3833333333333333,0.0,0.45,0.0,0.0,0.08333333333333333,0.0,0.5499999999999999,0.03333333333333333,0.03333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.028571428571428574,0.1857142857142857,0.0,0.4571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42500000000000004,0.275,0.05
10-26,0.1,0.0,0.3,0.0,0.6833333333333332,0.16666666666666666,0.0,0.0,0.0,0.48333333333333334,0.0,0.7833333333333333,0.0,0.0,0.08333333333333333,0.0,0.48333333333333334,0.0,0.0,0.0,0.2833333333333333,0.0,0.0,0.0,0.31666666666666665,0.0,0.0,0.0,0.0,0.1142857142857143,0.38571428571428573,0.0,0.4857142857142857,0.0,0.037500000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.275,0.0625
10-27,0.1,0.0,0.35000000000000003,0.0,0.7166666666666667,0.11666666666666665,0.0,0.0,0.0,0.7333333333333334,0.0,0.9,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.18571428571428572,0.41428571428571426,0.0,0.4857142857142857,0.07142857142857142,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.2625,0.275,0.0625
10-28,0.1,0.21666666666666667,0.48333333333333334,0.0,0.7666666666666666,0.03333333333333333,0.0,0.0,0.0,0.7666666666666666,0.0,0.9500000000000001,0.0,0.0,0.03333333333333333,0.0,0.35000000000000003,0.0,0.0,0.0,0.21666666666666667,0.0,0.0,0.0,0.3666666666666667,0.0,0.0,0.0,0.0,0.18571428571428572,0.39999999999999997,0.0,0.21428571428571427,0.2571428571428572,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.275,0.05
10-29,0.1,0.43333333333333335,1.0166666666666666,0.0,0.7833333333333333,0.03333333333333333,0.0,0.0,0.0,0.8166666666666668,0.0,1.1500000000000001,0.049999999999999996,0.0,0.03333333333333333,0.0,0.3666666666666667,0.0,0.0,0.0,0.5499999999999999,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.34285714285714286,0.3714285714285714,0.0,0.12857142857142856,0.2714285714285714,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2625,0.05
10-30,0.1,0.46666666666666673,1.0833333333333333,0.0,0.7666666666666666,0.016666666666666666,0.0,0.0,0.0,0.8166666666666668,0.0,1.1500000000000001,0.11666666666666665,0.0,0.03333333333333333,0.0,0.3666666666666667,0.0,0.0,0.0,0.5499999999999999,0.0,0.0,0.016666666666666666,0.48333333333333334,0.0,0.0,0.0,0.0,0.24285714285714285,0.24285714285714285,0.0,0.05714285714285715,0.2714285714285714,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.037500000000000006
10-31,0.1,0.45,1.1333333333333335,0.0,0.7833333333333333,0.016666666666666666,0.0,0.0,0.0,0.8166666666666668,0.06666666666666667,1.1666666666666667,0.3666666666666667,0.0,0.03333333333333333,0.0,0.35000000000000003,0.0,0.0,0.0,0.5499999999999999,0.0,0.0,0.016666666666666666,0.5666666666666667,0.0,0.0,0.0,0.0,0.18571428571428572,0.15714285714285717,0.014285714285714287,0.0,0.24285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.037500000000000006
11-01,0.0,0.18333333333333335,1.0166666666666666,0.03333333333333333,0.8000000000000002,0.016666666666666666,0.0,0.0,0.0,0.8166666666666668,0.08333333333333333,1.2333333333333334,0.3,0.0,0.3,0.0,0.31666666666666665,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.016666666666666666,0.6,0.03333333333333333,0.0,0.0,0.0,0.12857142857142856,0.08571428571428573,0.0,0.0,0.19999999999999998,0.725,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.42500000000000004,0.0
11-02,0.0,0.16666666666666666,0.9833333333333334,0.03333333333333333,0.9,0.016666666666666666,0.0,0.0,0.0,0.7999999999999999,0.08333333333333333,1.25,0.05000000000000001,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.08333333333333333,0.5333333333333333,0.03333333333333333,0.0,0.0,0.0,0.12857142857142856,0.028571428571428574,0.0,0.0,0.17142857142857146,0.65,0.8,0.0,0.0125,0.0,0.0,0.0,0.0,0.4875,0.0
